what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.ui,1.2.4,"org.tigris.subversion.subclipse.ui",1286553866881
os,sysinfo,,,"win32",1286553866881
arch,sysinfo,,,"x86",1286553866881
ws,sysinfo,,,"win32",1286553866881
locale,sysinfo,,,"en_US",1286553866881
processors,sysinfo,,,"8",1286553866881
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1286553866881
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1286553866881
java.specification.name,sysinfo,,,"Java Platform API Specification",1286553866881
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1286553866881
java.specification.version,sysinfo,,,"1.6",1286553866881
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1286553866881
java.version,sysinfo,,,"1.6.0_18",1286553866881
java.vm.info,sysinfo,,,"mixed mode, sharing",1286553866881
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1286553866881
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1286553866881
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1286553866881
java.vm.specification.version,sysinfo,,,"1.0",1286553866881
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1286553866881
java.vm.version,sysinfo,,,"16.0-b13",1286553866881
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1286553913864
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1286553924160
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1286553924410
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1286553924893
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1286553924893
